pts_per_g,per,ws,ws_per_48,bpm,Decision
24.avg,25.feb,12.apr,0.19699999999999998,5.apr,0.21100000000000002
25.avg,27.0,16.jan,0.25,9.avg,0.111
17.jan,22.sep,15.jun,0.23600000000000002,4.avg,0.033
20.apr,20.maj,12.feb,0.184,3.maj,0.026000000000000002
25.jul,19.mar,9.feb,0.146,1.feb,0.024
18.sep,20.jun,11.mar,0.19899999999999998,3.maj,0.021
18.sep,18.maj,9.jun,0.16399999999999998,2.jun,0.005
18.jun,21.jun,10.maj,0.177,4.feb,0.005
6.feb,10.jun,6.jun,0.10800000000000001,3.0,0.004
20.feb,21.feb,10.jul,0.17800000000000002,2.jan,0.004
26.maj,21.sep,10.jun,0.165,3.jul,0.004
17.feb,19.sep,10.mar,0.19699999999999998,4.0,0.004
22.sep,19.jul,7.jul,0.131,1.jul,0.001
17.feb,16.avg,7.0,0.14,1.jan,0.001
18.feb,17.jan,7.0,0.115,2.feb,0.001
22.mar,26.jun,16.maj,0.27,9.maj,0.691
25.feb,27.jan,17.mar,0.26899999999999996,9.avg,0.667
33.6,31.2,19.0,0.285,10.jun,0.613
31.0,27.feb,15.sep,0.245,6.jun,0.233
28.jun,25.avg,13.maj,0.205,4.jun,0.17600000000000002
24.mar,26.mar,15.jan,0.24100000000000002,6.maj,0.111
24.mar,24.jan,11.feb,0.17300000000000001,5.sep,0.07
27.feb,20.sep,11.feb,0.17600000000000002,1.avg,0.013000000000000001
17.feb,23.sep,14.apr,0.23800000000000002,4.feb,0.01
24.mar,21.sep,9.maj,0.154,6.jan,0.005
13.jun,14.mar,8.jul,0.149,1.avg,0.005
23.mar,22.feb,11.jun,0.20800000000000002,7.sep,0.003
17.avg,17.feb,8.jul,0.162,1.maj,0.001
18.apr,17.mar,6.jul,0.107,2.maj,0.001
31.maj,31.6,20.mar,0.321,10.avg,0.9279999999999999
19.apr,25.jan,15.apr,0.251,8.mar,0.518
25.jun,27.apr,17.0,0.264,8.apr,0.496
27.jun,28.sep,13.apr,0.258,9.sep,0.231
29.0,24.avg,15.maj,0.225,5.avg,0.14800000000000002
21.maj,22.jan,12.apr,0.209,7.mar,0.078
22.feb,23.jul,12.jul,0.22,5.feb,0.033
25.sep,23.maj,11.apr,0.177,4.jul,0.03
19.apr,19.jul,6.jun,0.14,4.jul,0.026000000000000002
17.0,21.jul,13.0,0.235,6.jan,0.026000000000000002
26.jun,23.jul,10.0,0.155,3.sep,0.021
17.feb,23.apr,14.0,0.217,4.apr,0.016
16.feb,17.apr,3.apr,0.098,1.avg,0.011000000000000001
14.sep,20.jun,10.0,0.198,1.jul,0.01
20.apr,18.0,9.sep,0.155,1.avg,0.008
28.apr,19.jan,3.maj,0.07,0.1,0.006999999999999999
17.jul,18.mar,9.0,0.161,0.7,0.005
21.feb,24.mar,8.jun,0.201,6.mar,0.004
22.sep,20.sep,9.sep,0.14800000000000002,4.0,0.001
18.apr,21.feb,7.sep,0.182,2.maj,0.001
30.jan,27.jul,17.jul,0.27399999999999997,8.jun,0.938
25.0,23.jun,12.avg,0.223,8.apr,0.584
23.feb,27.maj,13.sep,0.26,10.0,0.35100000000000003
28.0,25.apr,15.jan,0.237,5.mar,0.273
24.0,22.avg,13.0,0.198,4.0,0.10400000000000001
