;fga;fg3a;fta;per;ts_pct;usg_pct;bpm;season;player;win_pct;votes_first;points_won;points_max;award_share;g;mp_per_g;pts_per_g;trb_perg;ast_per_g;stl_per_g;blk_per_g;fg_pct;fg3_pct;ft_pct;ws;ws_per_48;all_star_votes;all_star_share;Decision
399;20.0;1.jul;7.apr;23.feb;0.544;30.apr;4.apr;2001-02;Kobe Bryant;0.7073170731707317;1.0;98.0;1260.0;0.078;80.0;38.3;25.feb;5.maj;5.maj;1.maj;0.4;0.469;0.25;0.829;12.jul;0.199;1433747;0.044;0.078
400;19.feb;2.sep;4.jan;22.sep;0.526;27.feb;4.jun;2001-02;Gary Payton;0.5487804878048781;1.0;54.0;1260.0;0.043;82.0;40.3;22.jan;4.avg;9.0;1.jun;0.3;0.467;0.314;0.797;12.jun;0.183;732671;0.023;0.043
401;19.sep;0.4;6.mar;24.apr;0.54;29.0;6.feb;2001-02;Chris Webber;0.7439024390243902;0.0;37.0;1260.0;0.029;54.0;38.4;24.maj;10.jan;4.avg;1.jul;1.apr;0.495;0.263;0.749;8.jun;0.2;1306243;0.04;0.029
402;16.jun;4.jun;6.avg;24.jan;0.599;25.maj;4.jul;2001-02;Dirk Nowitzki;0.6951219512195121;0.0;31.0;1260.0;0.025;76.0;38.0;23.apr;9.sep;2.apr;1.jan;1.0;0.477;0.397;0.853;13.apr;0.222;0;0;0.025
403;27.avg;4.maj;9.avg;21.sep;0.489;37.8;3.avg;2001-02;Allen Iverson;0.524390243902439;0.0;29.0;1260.0;0.023;60.0;43.7;31.4;4.maj;5.maj;2.avg;0.2;0.398;0.291;0.812;6.sep;0.126;1508142;0.046;0.023
404;6.0;0.0;2.sep;18.jun;0.522;10.maj;5.sep;2001-02;Ben Wallace;0.6097560975609756;0.0;24.0;1260.0;0.019;80.0;36.5;7.jun;13.0;1.apr;1.jul;3.maj;0.531;0.0;0.423;11.jun;0.19;0;0;0.019
405;19.maj;6.mar;7.avg;22.mar;0.57;29.mar;4.sep;2001-02;Paul Pierce;0.5975609756097561;0.0;22.0;1260.0;0.017;82.0;40.3;26.jan;6.sep;3.feb;1.sep;1.0;0.442;0.404;0.809;12.sep;0.187;0;0;0.017
406;17.mar;1.apr;5.maj;23.avg;0.536;26.0;6.jul;2001-02;Kevin Garnett;0.6097560975609756;0.0;17.0;1260.0;0.013;81.0;39.2;21.feb;12.jan;5.feb;1.feb;1.jun;0.47;0.319;0.801;12.avg;0.194;1003336;0.031;0.013
407;22.jan;0.9;5.jun;20.jul;0.468;36.0;2.apr;2001-02;Michael Jordan;0.45121951219512196;0.0;16.0;1260.0;0.013;60.0;34.9;22.sep;5.jul;5.feb;1.apr;0.4;0.416;0.189;0.79;3.mar;0.075;0;0;0.013
408;13.mar;4.feb;3.jun;20.jul;0.602;23.0;2.mar;2001-02;Steve Nash;0.6951219512195121;0.0;5.0;1260.0;0.004;82.0;34.6;17.sep;3.jan;7.jul;0.6;0.0;0.483;0.455;0.887;9.sep;0.167;0;0;0.004
409;17.apr;3.sep;7.jun;19.0;0.518;32.3;0.7;2001-02;Jerry Stackhouse;0.6097560975609756;0.0;3.0;1260.0;0.002;76.0;35.3;21.apr;4.jan;5.mar;1.0;0.5;0.397;0.287;0.858;5.avg;0.104;459575;0.014;0.002
410;12.mar;1.jul;2.apr;14.sep;0.513;19.jul;-0.4;2001-02;Mike Bibby;0.7439024390243902;0.0;1.0;1260.0;0.001;80.0;33.2;13.jul;2.avg;5.0;1.jan;0.2;0.453;0.37;0.803;6.mar;0.113;0;0;0.001
411;12.jun;0.0;6.jun;23.jun;0.586;21.jan;6.feb;2001-02;Elton Brand;0.47560975609756095;0.0;1.0;1260.0;0.001;80.0;37.8;18.feb;11.jun;2.apr;1.0;2.0;0.527;0.0;0.742;13.jun;0.216;315723;0.01;0.001
412;15.sep;4.apr;4.maj;19.mar;0.592;23.feb;2.jul;2001-02;Peja Stojakovic;0.7439024390243902;0.0;1.0;1260.0;0.001;71.0;37.3;21.feb;5.mar;2.maj;1.jan;0.2;0.484;0.416;0.876;9.sep;0.179;0;0;0.001
413;17.feb;0.3;7.avg;26.sep;0.564;28.0;7.apr;2002-03;Tim Duncan;0.7317073170731707;60.0;962.0;1190.0;0.808;81.0;39.3;23.mar;12.sep;3.sep;0.7;2.sep;0.513;0.273;0.71;16.maj;0.248;762289;0.04;0.808
414;18.jan;0.9;6.jan;26.apr;0.553;26.apr;8.jul;2002-03;Kevin Garnett;0.6219512195121951;43.0;871.0;1190.0;0.732;82.0;40.5;23.0;13.apr;6.0;1.apr;1.jun;0.502;0.282;0.751;15.jun;0.225;880692;0.046;0.732
415;23.maj;4.0;8.jul;26.feb;0.55;32.9;6.apr;2002-03;Kobe Bryant;0.6097560975609756;8.0;496.0;1190.0;0.417;82.0;41.5;30.0;6.sep;5.sep;2.feb;0.8;0.451;0.383;0.843;14.sep;0.21;1121753;0.059;0.417
416;24.feb;6.0;9.jul;30.mar;0.564;35.2;9.jul;2002-03;Tracy McGrady;0.5121951219512195;4.0;427.0;1190.0;0.359;75.0;39.4;32.1;6.maj;5.maj;1.jul;0.8;0.457;0.386;0.793;16.jan;0.262;453276;0.024;0.359
417;18.jan;0.0;10.avg;29.maj;0.602;30.2;6.mar;2002-03;Shaquille O'Neal;0.6097560975609756;3.0;126.0;1190.0;0.106;67.0;37.8;27.maj;11.jan;3.jan;0.6;2.apr;0.574;0.0;0.622;13.feb;0.25;1247438;0.066;0.106
418;23.jul;3.jul;9.0;21.feb;0.5;32.9;2.avg;2002-03;Allen Iverson;0.5853658536585366;0.0;83.0;1190.0;0.07;82.0;42.5;27.jun;4.feb;5.maj;2.jul;0.2;0.414;0.277;0.774;9.feb;0.127;920502;0.049;0.07
419;18.jun;4.sep;6.sep;25.jun;0.581;27.apr;5.jul;2002-03;Dirk Nowitzki;0.7317073170731707;0.0;43.0;1190.0;0.036;80.0;39.0;25.jan;9.sep;3.0;1.apr;1.0;0.463;0.379;0.881;16.jan;0.249;398184;0.021;0.036
420;6.0;0.1;2.jun;17.feb;0.486;10.feb;5.jan;2002-03;Ben Wallace;0.6097560975609756;1.0;33.0;1190.0;0.028;73.0;39.4;6.sep;15.apr;1.jun;1.apr;3.feb;0.481;0.167;0.45;10.jun;0.176;0;0;0.028
421;15.jun;4.jun;5.0;22.feb;0.526;25.sep;6.sep;2002-03;Jason Kidd;0.5975609756097561;0.0;31.0;1190.0;0.026;80.0;37.4;18.jul;6.mar;8.sep;2.feb;0.3;0.414;0.341;0.841;11.mar;0.182;442630;0.023;0.026
422;21.apr;0.3;5.mar;20.sep;0.485;30.apr;3.avg;2002-03;Chris Webber;0.7195121951219512;0.0;19.0;1190.0;0.016;67.0;39.1;23.0;10.maj;5.apr;1.jun;1.mar;0.461;0.238;0.607;6.sep;0.127;553401;0.029;0.016
423;19.mar;3.jul;4.maj;18.0;0.507;27.jan;2.0;2002-03;Jamal Mashburn;0.573170731707317;0.0;1.0;1190.0;0.001;82.0;40.5;21.jun;6.jan;5.jun;1.0;0.2;0.422;0.389;0.848;9.0;0.13;148069;0.008;0.001
424;13.jun;3.mar;4.jan;22.jun;0.576;24.apr;3.mar;2002-03;Steve Nash;0.7317073170731707;0.0;1.0;1190.0;0.001;82.0;33.1;17.jul;2.sep;7.mar;1.0;0.1;0.465;0.413;0.909;11.jun;0.206;278664;0.015;0.001
425;20.feb;4.sep;9.maj;22.jul;0.532;33.2;4.feb;2002-03;Paul Pierce;0.5365853658536586;0.0;1.0;1190.0;0.001;79.0;39.2;25.sep;7.mar;4.apr;1.avg;0.8;0.416;0.302;0.802;10.jan;0.157;254840;0.013;0.001
426;19.jun;0.5;5.jul;29.apr;0.547;29.jun;9.sep;2003-04;Kevin Garnett;0.7073170731707317;120.0;1219.0;1230.0;0.991;82.0;39.4;24.feb;13.sep;5.0;1.maj;2.feb;0.499;0.256;0.791;18.mar;0.272;1086780;0.039;0.991
427;17.jan;0.2;8.maj;27.jan;0.534;29.jul;7.mar;2003-04;Tim Duncan;0.6951219512195121;0.0;716.0;1230.0;0.582;69.0;36.6;22.mar;12.apr;3.jan;0.9;2.jul;0.501;0.167;0.599;13.jan;0.249;1179955;0.042;0.582
428;17.sep;0.2;5.sep;21.jan;0.489;30.2;1.avg;2003-04;Jermaine O'Neal;0.7439024390243902;2.0;523.0;1230.0;0.425;78.0;35.7;20.jan;10.0;2.jan;0.8;2.jun;0.434;0.111;0.757;9.0;0.155;940958;0.033;0.425
429;17.jan;6.avg;5.feb;21.avg;0.624;23.sep;3.jul;2003-04;Peja Stojakovic;0.6707317073170732;1.0;281.0;1230.0;0.228;81.0;40.3;24.feb;6.mar;2.jan;1.mar;0.2;0.48;0.433;0.927;13.maj;0.198;0;0;0.228
430;18.jan;3.mar;8.feb;23.jul;0.551;29.jan;5.jul;2003-04;Kobe Bryant;0.6829268292682927;0.0;212.0;1230.0;0.172;65.0;37.6;24.0;5.maj;5.jan;1.jul;0.4;0.438;0.327;0.852;10.jul;0.21;1474386;0.052;0.172
431;14.jan;0.0;10.jan;24.apr;0.578;26.mar;5.apr;2003-04;Shaquille O'Neal;0.6829268292682927;0.0;178.0;1230.0;0.145;67.0;36.8;21.maj;11.maj;2.sep;0.5;2.maj;0.584;0.0;0.49;9.sep;0.192;1049081;0.037;0.145
432;9.feb;0.1;3.jun;17.mar;0.441;15.mar;5.jan;2003-04;Ben Wallace;0.6585365853658537;0.0;24.0;1230.0;0.02;81.0;37.7;9.maj;12.apr;1.jul;1.avg;3.0;0.421;0.125;0.49;10.feb;0.16;1123090;0.04;0.02
433;14.mar;4.apr;3.jul;19.jul;0.485;24.jun;4.maj;2003-04;Jason Kidd;0.573170731707317;0.0;17.0;1230.0;0.014;67.0;36.6;15.maj;6.apr;9.feb;1.avg;0.2;0.384;0.321;0.827;7.feb;0.141;962325;0.034;0.014
434;18.sep;2.jul;5.avg;18.mar;0.488;28.feb;1.sep;2003-04;LeBron James;0.4268292682926829;0.0;11.0;1230.0;0.009;79.0;39.5;20.sep;5.maj;5.sep;1.jun;0.7;0.417;0.29;0.754;5.jan;0.078;0;0;0.009
435;15.jul;2.mar;4.jan;22.avg;0.566;27.feb;4.mar;2003-04;Sam Cassell;0.7073170731707317;0.0;4.0;1230.0;0.003;81.0;35.0;19.avg;3.mar;7.mar;1.mar;0.2;0.488;0.398;0.873;12.jan;0.205;0;0;0.003
436;20.sep;8.jul;5.mar;20.jul;0.492;30.jan;5.jun;2003-04;Baron Davis;0.5;0.0;4.0;1230.0;0.003;67.0;40.1;22.sep;4.mar;7.maj;2.apr;0.4;0.395;0.321;0.673;7.maj;0.133;189818;0.007;0.003
437;17.0;3.avg;5.maj;22.maj;0.561;24.maj;3.apr;2003-04;Dirk Nowitzki;0.6341463414634146;0.0;4.0;1230.0;0.003;77.0;37.9;21.avg;8.jul;2.jul;1.feb;1.apr;0.462;0.341;0.877;11.maj;0.19;1079425;0.038;0.003
438;11.sep;2.jun;6.apr;22.jun;0.559;21.sep;8.feb;2003-04;Andrei Kirilenko;0.5121951219512195;0.0;2.0;1230.0;0.002;78.0;37.1;16.maj;8.jan;3.jan;1.sep;2.avg;0.443;0.338;0.79;11.jun;0.192;0;0;0.002
439;17.sep;2.jun;6.apr;17.jun;0.509;28.maj;0.1;2003-04;Carmelo Anthony;0.524390243902439;0.0;1.0;1230.0;0.001;82.0;36.5;21.0;6.jan;2.avg;1.feb;0.5;0.426;0.322;0.777;6.jan;0.098;0;0;0.001
440;12.maj;0.0;5.apr;21.sep;0.586;25.mar;1.sep;2003-04;Yao Ming;0.5487804878048781;0.0;1.0;1230.0;0.001;82.0;32.8;17.maj;9.0;1.maj;0.3;1.sep;0.522;0.0;0.809;11.apr;0.202;1286324;0.046;0.001
441;17.maj;4.apr;5.apr;19.sep;0.544;26.mar;2.feb;2003-04;Michael Redd;0.5;0.0;1.0;1230.0;0.001;82.0;36.8;21.jul;5.0;2.mar;1.0;0.1;0.44;0.35;0.868;9.jul;0.154;0;0;0.001
442;11.apr;2.sep;3.feb;22.0;0.606;20.maj;1.jul;2004-05;Steve Nash;0.7560975609756098;65.0;1066.0;1270.0;0.839;75.0;34.3;15.maj;3.mar;11.maj;1.0;0.1;0.502;0.431;0.887;10.sep;0.203;582243;0.018;0.839
443;15.0;0.0;10.maj;27.0;0.583;30.maj;5.jun;2004-05;Shaquille O'Neal;0.7195121951219512;58.0;1032.0;1270.0;0.813;73.0;34.1;22.sep;10.apr;2.jul;0.5;2.mar;0.601;0.0;0.461;11.0;0.211;1453286;0.044;0.813
444;18.maj;2.sep;9.jan;26.jan;0.578;28.jul;5.jul;2004-05;Dirk Nowitzki;0.7073170731707317;0.0;349.0;1270.0;0.275;78.0;38.7;26.jan;9.jul;3.jan;1.feb;1.maj;0.459;0.399;0.869;15.jun;0.248;572362;0.017;0.275
445;15.avg;0.1;6.sep;27.0;0.54;28.sep;6.apr;2004-05;Tim Duncan;0.7195121951219512;1.0;328.0;1270.0;0.258;66.0;33.4;20.mar;11.jan;2.jul;0.7;2.jun;0.496;0.333;0.67;11.feb;0.245;1681435;0.051;0.258
446;24.feb;4.maj;10.maj;23.feb;0.532;35.0;4.mar;2004-05;Allen Iverson;0.524390243902439;2.0;240.0;1270.0;0.189;75.0;42.3;30.jul;4.0;7.sep;2.apr;0.1;0.424;0.308;0.835;9.0;0.136;1731648;0.053;0.189
447;21.jan;3.sep;8.0;25.jul;0.554;29.jul;8.mar;2004-05;LeBron James;0.5121951219512195;0.0;93.0;1270.0;0.073;80.0;42.4;27.feb;7.apr;7.feb;2.feb;0.7;0.472;0.351;0.75;14.mar;0.203;768532;0.023;0.073
448;21.mar;5.jun;7.jan;22.sep;0.526;31.2;6.avg;2004-05;Tracy McGrady;0.6219512195121951;0.0;44.0;1270.0;0.035;78.0;40.8;25.jul;6.feb;5.jul;1.jul;0.7;0.431;0.326;0.774;12.0;0.18;1231825;0.037;0.035
449;17.jan;0.6;9.sep;23.jan;0.561;30.sep;4.apr;2004-05;Dwyane Wade;0.7195121951219512;0.0;43.0;1270.0;0.034;77.0;38.6;24.jan;5.feb;6.avg;1.jun;1.jan;0.478;0.289;0.762;11.0;0.177;0;0;0.034
450;16.jul;0.2;9.sep;26.jun;0.617;28.mar;3.apr;2004-05;Amar'e Stoudemire;0.7560975609756098;1.0;41.0;1270.0;0.032;80.0;36.1;26.0;8.sep;1.jun;1.0;1.jun;0.559;0.188;0.733;14.jun;0.243;0;0;0.032
451;19.feb;7.jan;5.maj;20.sep;0.555;28.0;3.jul;2004-05;Ray Allen;0.6341463414634146;0.0;41.0;1270.0;0.032;78.0;39.3;23.sep;4.apr;3.jul;1.jan;0.1;0.428;0.376;0.883;10.jul;0.168;303337;0.009;0.032
452;16.jun;0.3;6.jul;28.feb;0.567;27.jan;9.jul;2004-05;Kevin Garnett;0.5365853658536586;0.0;15.0;1270.0;0.012;82.0;38.1;22.feb;13.maj;5.jul;1.maj;1.apr;0.502;0.24;0.811;16.jan;0.248;1780918;0.054;0.012
453;19.0;7.0;8.0;21.mar;0.565;27.mar;4.0;2004-05;Gilbert Arenas;0.5487804878048781;0.0;4.0;1270.0;0.003;80.0;40.9;25.maj;4.jul;5.jan;1.jul;0.3;0.431;0.365;0.814;11.maj;0.169;0;0;0.003
454;20.0;4.jan;6.0;22.sep;0.541;31.6;5.mar;2004-05;Vince Carter;0.5;0.0;3.0;1270.0;0.002;77.0;36.7;24.maj;5.feb;4.feb;1.apr;0.6;0.452;0.406;0.798;9.apr;0.159;2127183;0.065;0.002
455;9.feb;0.0;3.0;15.maj;0.512;15.sep;1.mar;2004-05;P.J. Brown;0.21951219512195122;0.0;1.0;1270.0;0.001;82.0;34.4;10.avg;9.0;2.feb;0.9;0.6;0.446;0.0;0.864;6.sep;0.118;0;0;0.001
456;9.jan;0.1;2.jun;18.0;0.505;17.feb;3.apr;2004-05;Marcus Camby;0.5975609756097561;0.0;1.0;1270.0;0.001;66.0;30.maj;10.mar;10.0;2.mar;0.9;3.0;0.465;0.0;0.723;5.avg;0.138;0;0;0.001
457;15.sep;4.feb;3.apr;21.jul;0.556;21.mar;4.sep;2004-05;Shawn Marion;0.7560975609756098;0.0;1.0;1270.0;0.001;81.0;38.8;19.apr;11.mar;1.sep;2.0;1.maj;0.476;0.334;0.833;12.maj;0.191;0;0;0.001
458;13.apr;4.mar;3.maj;23.mar;0.632;23.mar;3.jul;2005-06;Steve Nash;0.6585365853658537;57.0;924.0;1250.0;0.739;79.0;35.4;18.avg;4.feb;10.maj;0.8;0.2;0.512;0.439;0.921;12.apr;0.212;1148275;0.03;0.739
459;23.jan;4.avg;10.mar;28.jan;0.568;33.6;9.mar;2005-06;LeBron James;0.6097560975609756;16.0;688.0;1250.0;0.55;79.0;42.5;31.4;7.0;6.jun;1.jun;0.8;0.48;0.335;0.738;16.mar;0.232;1661204;0.043;0.55
460;19.mar;3.mar;7.apr;28.jan;0.589;30.0;5.jul;2005-06;Dirk Nowitzki;0.7317073170731707;14.0;544.0;1250.0;0.435;81.0;38.1;26.jun;9.0;2.avg;0.7;1.0;0.48;0.406;0.901;17.jul;0.275;846912;0.022;0.435
461;27.feb;6.maj;10.feb;28.0;0.559;38.7;5.avg;2005-06;Kobe Bryant;0.5487804878048781;22.0;483.0;1250.0;0.386;80.0;41.0;35.4;5.mar;4.maj;1.avg;0.4;0.45;0.347;0.85;15.mar;0.224;1815952;0.047;0.386
462;12.maj;5.feb;6.apr;23.apr;0.602;22.sep;4.jul;2005-06;Chauncey Billups;0.7804878048780488;15.0;430.0;1250.0;0.344;81.0;36.1;18.maj;3.jan;8.jun;0.9;0.1;0.418;0.433;0.894;15.maj;0.254;324542;0.008;0.344
463;18.avg;1.0;10.jul;27.jun;0.577;32.5;7.maj;2005-06;Dwyane Wade;0.6341463414634146;0.0;87.0;1250.0;0.07;75.0;38.6;27.feb;5.jul;6.jul;1.sep;0.8;0.495;0.171;0.783;14.apr;0.239;1195888;0.031;0.07
464;18.feb;0.0;7.feb;26.maj;0.58;27.jul;6.mar;2005-06;Elton Brand;0.573170731707317;1.0;50.0;1250.0;0.04;79.0;39.2;24.jul;10.0;2.jun;1.0;2.maj;0.527;0.333;0.775;14.avg;0.229;0;0;0.04
465;14.avg;0.1;6.jul;23.jan;0.523;27.jul;4.jun;2005-06;Tim Duncan;0.7682926829268293;0.0;33.0;1250.0;0.026;80.0;34.8;18.jun;11.0;3.feb;0.9;2.0;0.484;0.4;0.629;10.avg;0.187;1812522;0.047;0.026
466;14.feb;0.5;4.maj;20.avg;0.584;27.jan;2.jun;2005-06;Tony Parker;0.7682926829268293;0.0;9.0;1250.0;0.007;80.0;33.9;18.sep;3.mar;5.avg;1.0;0.1;0.548;0.306;0.707;9.jun;0.169;405826;0.011;0.007
467;25.mar;3.jan;11.maj;25.sep;0.543;35.8;3.maj;2005-06;Allen Iverson;0.4634146341463415;0.0;1.0;1250.0;0.001;72.0;43.1;33.0;3.feb;7.apr;1.sep;0.1;0.447;0.323;0.814;10.jun;0.165;1590400;0.041;0.001
468;16.sep;3.jun;3.jul;23.jun;0.591;22.mar;5.mar;2005-06;Shawn Marion;0.6585365853658537;0.0;1.0;1250.0;0.001;81.0;40.3;21.avg;11.avg;1.avg;2.0;1.jul;0.525;0.331;0.809;14.jun;0.214;264203;0.007;0.001
469;17.feb;2.feb;7.jan;27.jun;0.605;28.sep;6.jul;2006-07;Dirk Nowitzki;0.8170731707317073;83.0;1138.0;1290.0;0.882;78.0;36.2;24.jun;8.sep;3.apr;0.7;0.8;0.502;0.416;0.904;16.mar;0.278;626083;0.016;0.882
470;12.avg;4.maj;3.mar;23.avg;0.654;22.sep;3.avg;2006-07;Steve Nash;0.7439024390243902;44.0;1013.0;1290.0;0.785;76.0;35.3;18.jun;3.maj;11.jun;0.8;0.1;0.532;0.455;0.899;12.jun;0.225;1818230;0.046;0.785
471;22.avg;5.feb;10.0;26.jan;0.58;33.6;4.jul;2006-07;Kobe Bryant;0.5121951219512195;2.0;521.0;1290.0;0.404;77.0;40.8;31.6;5.jul;5.apr;1.apr;0.5;0.463;0.344;0.868;13.0;0.199;2271631;0.058;0.404
472;14.jan;0.1;7.jan;26.jan;0.579;27.sep;7.jan;2006-07;Tim Duncan;0.7073170731707317;0.0;286.0;1290.0;0.222;80.0;34.1;20.0;10.jun;3.apr;0.8;2.apr;0.546;0.111;0.637;13.0;0.23;1518796;0.039;0.222
473;20.avg;4.0;9.0;24.maj;0.552;31.0;7.apr;2006-07;LeBron James;0.6097560975609756;0.0;183.0;1290.0;0.142;78.0;40.9;27.mar;6.jul;6.0;1.jun;0.7;0.476;0.319;0.698;13.jul;0.206;2207697;0.056;0.142
474;20.avg;5.apr;6.sep;23.feb;0.515;35.0;6.feb;2006-07;Tracy McGrady;0.6341463414634146;0.0;110.0;1290.0;0.085;71.0;35.8;24.jun;5.mar;6.maj;1.mar;0.5;0.431;0.331;0.707;8.jun;0.163;1818932;0.046;0.085
475;15.sep;0.5;8.jun;22.jun;0.577;26.jul;2.jun;2006-07;Chris Bosh;0.573170731707317;0.0;43.0;1290.0;0.033;69.0;38.5;22.jun;10.jul;2.maj;0.6;1.mar;0.496;0.343;0.785;9.jun;0.174;352033;0.009;0.033
476;20.sep;7.sep;9.jul;24.0;0.565;31.4;5.0;2006-07;Gilbert Arenas;0.5;0.0;31.0;1290.0;0.024;74.0;39.8;28.apr;4.jun;6.0;1.sep;0.2;0.418;0.351;0.844;10.avg;0.177;453971;0.012;0.024
477;15.jun;0.0;5.0;24.jan;0.588;26.maj;4.jun;2006-07;Carlos Boozer;0.6219512195121951;0.0;7.0;1290.0;0.005;74.0;34.6;20.sep;11.jul;3.0;0.9;0.3;0.561;0.0;0.685;9.sep;0.185;0;0;0.005
478;17.jun;0.7;6.jun;24.jan;0.546;27.apr;5.0;2006-07;Kevin Garnett;0.3902439024390244;0.0;7.0;1290.0;0.005;76.0;39.4;22.apr;12.avg;4.jan;1.feb;1.jul;0.476;0.214;0.835;10.jul;0.171;1479386;0.038;0.005
479;11.jun;4.maj;6.feb;21.mar;0.591;21.maj;4.apr;2006-07;Chauncey Billups;0.6463414634146342;0.0;4.0;1290.0;0.003;70.0;36.2;17.0;3.apr;7.feb;1.feb;0.2;0.427;0.345;0.883;11.apr;0.216;717006;0.018;0.003
480;12.0;0.0;7.apr;21.jul;0.567;29.apr;0.9;2006-07;Shaquille O'Neal;0.5365853658536586;0.0;3.0;1290.0;0.002;40.0;28.apr;17.mar;7.apr;2.0;0.2;1.apr;0.591;0.0;0.422;2.avg;0.119;2192542;0.056;0.002
481;18.sep;1.maj;10.maj;28.sep;0.583;34.7;8.apr;2006-07;Dwyane Wade;0.5365853658536586;0.0;3.0;1290.0;0.002;51.0;37.9;27.apr;4.jul;7.maj;2.jan;1.feb;0.491;0.266;0.807;8.avg;0.219;1499664;0.038;0.002
482;12.sep;0.0;7.jan;23.jan;0.637;25.avg;1.jun;2006-07;Amar'e Stoudemire;0.7439024390243902;0.0;2.0;1290.0;0.002;82.0;32.8;20.apr;9.jun;1.0;1.0;1.mar;0.575;0.0;0.781;11.feb;0.201;270109;0.007;0.002
483;22.apr;2.mar;8.jul;22.jan;0.552;33.4;2.0;2006-07;Carmelo Anthony;0.5487804878048781;0.0;1.0;1290.0;0.001;65.0;38.2;28.sep;6.0;3.avg;1.feb;0.4;0.476;0.268;0.808;7.mar;0.14;458410;0.012;0.001
484;16.mar;4.apr;5.sep;21.0;0.53;26.maj;3.apr;2006-07;Baron Davis;0.5121951219512195;0.0;1.0;1290.0;0.001;63.0;35.3;20.jan;4.apr;8.jan;2.jan;0.5;0.439;0.304;0.745;6.apr;0.139;416811;0.011;0.001
485;14.feb;0.5;4.maj;21.apr;0.572;27.apr;2.jul;2006-07;Tony Parker;0.7073170731707317;0.0;1.0;1290.0;0.001;77.0;32.5;18.jun;3.feb;5.maj;1.jan;0.1;0.52;0.395;0.783;9.jun;0.185;646739;0.016;0.001
486;20.jun;5.jan;9.0;24.feb;0.576;31.4;5.apr;2007-08;Kobe Bryant;0.6951219512195121;82.0;1100.0;1260.0;0.873;82.0;38.9;28.mar;6.mar;5.apr;1.avg;0.5;0.459;0.361;0.84;13.avg;0.208;2138777;0.048;0.873
487;16.jan;3.jan;4.sep;28.mar;0.576;25.jul;9.feb;2007-08;Chris Paul;0.6829268292682927;28.0;894.0;1260.0;0.71;80.0;37.6;21.jan;4.0;11.jun;2.jul;0.1;0.488;0.369;0.851;17.avg;0.284;462206;0.01;0.71
488;13.sep;0.2;4.jul;25.mar;0.588;25.maj;7.apr;2007-08;Kevin Garnett;0.8048780487804879;15.0;670.0;1260.0;0.532;71.0;32.8;18.avg;9.feb;3.apr;1.apr;1.mar;0.539;0.0;0.801;12.sep;0.265;1616575;0.037;0.532
489;21.sep;4.avg;10.mar;29.jan;0.568;33.5;11.feb;2007-08;LeBron James;0.5487804878048781;1.0;438.0;1260.0;0.348;75.0;40.4;30.0;7.sep;7.feb;1.avg;1.jan;0.484;0.315;0.712;15.feb;0.242;2516049;0.057;0.348
490;11.sep;0.0;10.sep;22.sep;0.619;24.feb;2.feb;2007-08;Dwight Howard;0.6341463414634146;0.0;60.0;1260.0;0.048;82.0;37.7;20.jul;14.feb;1.mar;0.9;2.jan;0.599;0.0;0.59;12.sep;0.2;1464613;0.033;0.048
491;15.mar;0.4;8.jul;27.jun;0.656;28.feb;3.sep;2007-08;Amar'e Stoudemire;0.6707317073170732;0.0;27.0;1260.0;0.021;79.0;33.9;25.feb;9.jan;1.maj;0.8;2.jan;0.59;0.161;0.805;14.jun;0.262;1209333;0.027;0.021
492;15.jan;0.1;5.sep;24.apr;0.546;28.feb;4.jul;2007-08;Tim Duncan;0.6829268292682927;0.0;25.0;1260.0;0.02;78.0;34.0;19.mar;11.mar;2.avg;0.7;1.sep;0.497;0.0;0.73;11.jan;0.201;1436584;0.032;0.02
493;19.avg;4.maj;5.apr;18.apr;0.487;30.apr;2.apr;2007-08;Tracy McGrady;0.6707317073170732;0.0;19.0;1260.0;0.015;66.0;37.0;21.jun;5.jan;5.sep;1.0;0.5;0.419;0.292;0.684;5.avg;0.115;1942746;0.044;0.015
494;11.sep;4.jul;3.0;21.jan;0.641;22.0;1.jun;2007-08;Steve Nash;0.6707317073170732;0.0;18.0;1260.0;0.014;81.0;34.3;16.sep;3.maj;11.jan;0.7;0.1;0.504;0.47;0.906;10.maj;0.181;1504826;0.034;0.014
495;13.mar;5.mar;6.0;24.mar;0.612;28.jul;8.jan;2007-08;Manu Ginobili;0.6829268292682927;0.0;9.0;1260.0;0.007;74.0;31.jan;19.maj;4.avg;4.maj;1.maj;0.4;0.46;0.401;0.86;11.jan;0.232;0;0;0.007
496;17.jan;2.sep;7.jan;24.jun;0.585;28.avg;5.feb;2007-08;Dirk Nowitzki;0.6219512195121951;0.0;5.0;1260.0;0.004;77.0;36.0;23.jun;8.jun;3.maj;0.7;0.9;0.479;0.359;0.879;12.sep;0.223;1276304;0.029;0.004
497;13.jun;2.jun;5.0;20.avg;0.595;23.jan;2.jan;2007-08;Deron Williams;0.6585365853658537;0.0;4.0;1260.0;0.003;82.0;37.3;18.avg;3.0;10.maj;1.jan;0.3;0.507;0.395;0.803;11.mar;0.177;0;0;0.003
498;19.feb;2.jan;7.jul;21.jan;0.568;30.2;1.jun;2007-08;Carmelo Anthony;0.6097560975609756;0.0;3.0;1260.0;0.002;77.0;36.4;25.jul;7.apr;3.apr;1.mar;0.5;0.492;0.354;0.786;8.feb;0.14;1309945;0.03;0.002
